Number of pairs,37329.000000
Number of unique pairs,6667
Average pair frequency,5.599070
Pair entropy,8.481172

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown often,4.000000,0.000107,0.000980,1.624874
clown almost,4.000000,0.000107,0.000980,2.117350
clown always,3.000000,0.000080,0.000758,1.283125
clown nation,11.000000,0.000295,0.002396,2.061111
clown departments,3.000000,0.000080,0.000758,2.281653
clown florida,3.000000,0.000080,0.000758,1.092069
clown hit,7.000000,0.000188,0.001609,1.939367
clown taken,6.000000,0.000161,0.001404,1.454975
clown theory,5.000000,0.000134,0.001195,2.792479
clown create,3.000000,0.000080,0.000758,2.281653
clown hysteria,46.000000,0.001232,0.008255,2.588145
clown rumors,5.000000,0.000134,0.001195,1.560335
clown highway,3.000000,0.000080,0.000758,2.281653
clown industry,4.000000,0.000107,0.000980,2.569335
clown teacher,4.000000,0.000107,0.000980,2.212660
clown become,5.000000,0.000134,0.001195,1.602895
clown trend,7.000000,0.000188,0.001609,1.609125
clown london,3.000000,0.000080,0.000758,2.148122
clown kentucky,8.000000,0.000214,0.001811,1.807195
clown hill,3.000000,0.000080,0.000758,1.742657
clown rogers,3.000000,0.000080,0.000758,3.128951
clown craze,18.000000,0.000482,0.003683,2.355761
clown bushes,3.000000,0.000080,0.000758,2.030339
clown result,3.000000,0.000080,0.000758,2.281653
clown credible,5.000000,0.000134,0.001195,1.560335
clown pranks,6.000000,0.000161,0.001404,1.701835
clown fears,3.000000,0.000080,0.000758,1.136521
clown percent,6.000000,0.000161,0.001404,2.355761
clown pennsylvania,3.000000,0.000080,0.000758,0.761828
clown invasion,3.000000,0.000080,0.000758,3.128951
clown potential,4.000000,0.000107,0.000980,2.212660
clown entertainer,4.000000,0.000107,0.000980,2.905808
clown township,4.000000,0.000107,0.000980,2.435804
clown halloween,14.000000,0.000375,0.002959,1.302100
clown encounters,9.000000,0.000241,0.002008,2.928280
clown hoaxes,8.000000,0.000214,0.001811,1.682032
clown happening,3.000000,0.000080,0.000758,1.829668
clown reading,3.000000,0.000080,0.000758,0.860268
clown scheduled,7.000000,0.000188,0.001609,2.509912
clown hunting,4.000000,0.000107,0.000980,2.435804
clown inducing,3.000000,0.000080,0.000758,2.841269
clown phenomenon,9.000000,0.000241,0.002008,1.770828
clown created,3.000000,0.000080,0.000758,1.454975
clown outfit,3.000000,0.000080,0.000758,2.618126
clown hiding,3.000000,0.000080,0.000758,1.924978
clown lake,3.000000,0.000080,0.000758,2.618126
clown robbed,3.000000,0.000080,0.000758,2.148122
clown onto,4.000000,0.000107,0.000980,2.212660
clown campus,11.000000,0.000295,0.002396,1.720184
