Number of pairs,39082.000000
Number of unique pairs,6621
Average pair frequency,5.902734
Pair entropy,8.409873

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown apparently,4.000000,0.000102,0.000940,1.223684
clown possibly,10.000000,0.000256,0.002116,2.204513
clown years,17.000000,0.000435,0.003367,1.832274
clown including,11.000000,0.000281,0.002301,1.452526
clown brandishing,3.000000,0.000077,0.000727,2.099153
clown turned,11.000000,0.000281,0.002301,1.511366
clown officials,8.000000,0.000205,0.001739,0.777397
clown asked,4.000000,0.000102,0.000940,0.562285
clown crimes,3.000000,0.000077,0.000727,1.143641
clown release,3.000000,0.000077,0.000727,0.764152
clown heard,6.000000,0.000154,0.001348,1.034442
clown give,3.000000,0.000077,0.000727,1.310695
clown case,4.000000,0.000102,0.000940,0.595075
clown entice,4.000000,0.000102,0.000940,2.204513
clown whispering,13.000000,0.000333,0.002664,2.609978
clown noises,11.000000,0.000281,0.002301,2.368816
clown flashing,11.000000,0.000281,0.002301,2.609978
clown scared,4.000000,0.000102,0.000940,0.738176
clown talk,5.000000,0.000128,0.001147,1.386203
clown again,6.000000,0.000154,0.001348,1.223684
clown knew,3.000000,0.000077,0.000727,1.143641
clown post,9.000000,0.000230,0.001929,1.069533
clown dumpster,3.000000,0.000077,0.000727,1.511366
clown waved,6.000000,0.000154,0.001348,1.629149
clown approach,5.000000,0.000128,0.001147,2.139975
clown cash,5.000000,0.000128,0.001147,1.734510
clown trail,6.000000,0.000154,0.001348,1.836788
clown walked,6.000000,0.000154,0.001348,2.204513
clown weapons,8.000000,0.000205,0.001739,1.981370
clown sparked,6.000000,0.000154,0.001348,1.916831
clown social,40.000000,0.001023,0.007046,1.301645
clown matter,22.000000,0.000563,0.004212,1.872379
clown evening,5.000000,0.000128,0.001147,1.274977
clown point,5.000000,0.000128,0.001147,0.753680
clown true,4.000000,0.000102,0.000940,1.000540
clown light,9.000000,0.000230,0.001929,2.168146
clown harm,3.000000,0.000077,0.000727,0.712858
clown approached,9.000000,0.000230,0.001929,2.322296
clown buildings,3.000000,0.000077,0.000727,1.916831
clown hiking,3.000000,0.000077,0.000727,2.322296
clown characters,4.000000,0.000102,0.000940,0.951750
clown either,5.000000,0.000128,0.001147,1.580359
clown attempting,14.000000,0.000358,0.002842,2.415822
clown august,19.000000,0.000486,0.003709,1.662597
clown kitchen,4.000000,0.000102,0.000940,2.386835
clown charged,5.000000,0.000128,0.001147,0.722909
clown attempted,4.000000,0.000102,0.000940,2.386835
clown north,21.000000,0.000537,0.004046,1.260052
clown city,11.000000,0.000281,0.002301,1.179232
clown lives,19.000000,0.000486,0.003709,2.088681
clown local,21.000000,0.000537,0.004046,1.364041
clown campaign,6.000000,0.000154,0.001348,1.693688
clown online,10.000000,0.000256,0.002116,1.198991
clown posts,3.000000,0.000077,0.000727,0.307393
clown help,3.000000,0.000077,0.000727,1.000540
clown allegedly,16.000000,0.000409,0.003194,1.575905
clown friends,3.000000,0.000077,0.000727,0.712858
clown lurking,26.000000,0.000665,0.004867,2.371567
clown edge,7.000000,0.000179,0.001545,1.783300
clown knives,7.000000,0.000179,0.001545,2.157993
clown hell,3.000000,0.000077,0.000727,1.511366
clown idiots,4.000000,0.000102,0.000940,2.204513
clown abandoned,4.000000,0.000102,0.000940,1.598377
clown manmade,4.000000,0.000102,0.000940,2.386835
clown middle,4.000000,0.000102,0.000940,0.469912
clown cool,3.000000,0.000077,0.000727,0.712858
clown luring,7.000000,0.000179,0.001545,2.476447
clown exist,4.000000,0.000102,0.000940,2.204513
clown wrote,4.000000,0.000102,0.000940,0.499765
clown boy,8.000000,0.000205,0.001739,0.905230
clown appearing,5.000000,0.000128,0.001147,2.427657
clown days,5.000000,0.000128,0.001147,0.693056
clown spokesman,3.000000,0.000077,0.000727,0.450494
clown seem,6.000000,0.000154,0.001348,1.693688
clown spreading,7.000000,0.000179,0.001545,2.070982
clown national,3.000000,0.000077,0.000727,0.530537
clown today,3.000000,0.000077,0.000727,0.530537
clown considering,3.000000,0.000077,0.000727,2.322296
clown pop,3.000000,0.000077,0.000727,2.099153
clown scare,26.000000,0.000665,0.004867,1.757201
clown imaginations,3.000000,0.000077,0.000727,2.322296
clown possibility,3.000000,0.000077,0.000727,1.916831
clown prank,5.000000,0.000128,0.001147,0.664068
clown leading,6.000000,0.000154,0.001348,1.916831
clown responding,4.000000,0.000102,0.000940,1.357215
clown led,5.000000,0.000128,0.001147,1.654467
clown outside,22.000000,0.000563,0.004212,1.987449
