Number of pairs,27786.000000
Number of unique pairs,4924
Average pair frequency,5.642973
Pair entropy,8.144008

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown given,4.000000,0.000144,0.001273,2.343367
clown current,3.000000,0.000108,0.000986,1.768003
clown online,3.000000,0.000108,0.000986,1.208387
clown turned,7.000000,0.000252,0.002088,1.823063
clown led,4.000000,0.000144,0.001273,2.594682
clown outfits,8.000000,0.000288,0.002347,3.729662
clown reached,3.000000,0.000108,0.000986,1.419696
clown october,4.000000,0.000144,0.001273,1.707378
clown zero,3.000000,0.000108,0.000986,3.559762
clown august,9.000000,0.000324,0.002603,2.001618
clown residents,6.000000,0.000216,0.001823,1.184857
clown nearby,4.000000,0.000144,0.001273,2.343367
clown fleetwood,3.000000,0.000108,0.000986,0.903006
clown apartments,3.000000,0.000108,0.000986,0.938724
clown began,10.000000,0.000360,0.002854,2.218204
clown pranks,3.000000,0.000108,0.000986,1.650220
clown images,6.000000,0.000216,0.001823,2.866615
clown associated,5.000000,0.000180,0.001552,2.891933
clown horror,8.000000,0.000288,0.002347,2.238007
clown hit,5.000000,0.000180,0.001552,2.022895
clown sales,5.000000,0.000180,0.001552,2.817825
clown year,10.000000,0.000360,0.002854,2.124678
clown hurt,3.000000,0.000108,0.000986,1.544859
clown epidemic,3.000000,0.000108,0.000986,2.173468
clown percent,5.000000,0.000180,0.001552,2.891933
clown image,5.000000,0.000180,0.001552,2.161046
clown association,11.000000,0.000396,0.003102,3.680390
clown recently,6.000000,0.000216,0.001823,1.925632
clown stuff,4.000000,0.000144,0.001273,2.525689
clown march,8.000000,0.000288,0.002347,2.631049
clown arizona,3.000000,0.000108,0.000986,2.381107
clown facebook,3.000000,0.000108,0.000986,0.491710
clown america,3.000000,0.000108,0.000986,1.687960
clown side,3.000000,0.000108,0.000986,1.544859
clown sweeping,7.000000,0.000252,0.002088,3.154297
clown nation,7.000000,0.000252,0.002088,2.296847
clown outside,12.000000,0.000432,0.003346,2.400526
clown state,9.000000,0.000324,0.002603,1.578761
clown car,12.000000,0.000432,0.003346,2.461150
clown full,8.000000,0.000288,0.002347,2.289300
clown possibly,4.000000,0.000144,0.001273,2.142696
clown armed,9.000000,0.000324,0.002603,2.518309
clown york,3.000000,0.000108,0.000986,1.282495
clown campus,7.000000,0.000252,0.002088,1.964713
clown hiding,3.000000,0.000108,0.000986,2.461150
clown bushes,3.000000,0.000108,0.000986,2.643472
clown large,5.000000,0.000180,0.001552,1.960375
clown knife,8.000000,0.000288,0.002347,2.371538
clown several,5.000000,0.000180,0.001552,0.882171
clown stories,5.000000,0.000180,0.001552,2.238007
clown viral,5.000000,0.000180,0.001552,2.161046
clown getting,3.000000,0.000108,0.000986,1.117415
clown far,4.000000,0.000144,0.001273,1.449549
clown running,4.000000,0.000144,0.001273,1.321716
clown town,3.000000,0.000108,0.000986,1.208387
clown suit,11.000000,0.000396,0.003102,3.412126
clown own,5.000000,0.000180,0.001552,2.198786
clown kidnap,3.000000,0.000108,0.000986,2.748832
clown knives,3.000000,0.000108,0.000986,2.548162
clown big,6.000000,0.000216,0.001823,2.083856
clown convention,4.000000,0.000144,0.001273,3.154297
clown season,3.000000,0.000108,0.000986,2.748832
clown coming,6.000000,0.000216,0.001823,2.055685
clown kentucky,5.000000,0.000180,0.001552,2.055685
clown green,5.000000,0.000180,0.001552,1.650220
clown multiple,3.000000,0.000108,0.000986,1.362538
clown complaints,3.000000,0.000108,0.000986,1.419696
clown earlier,3.000000,0.000108,0.000986,1.184857
clown part,5.000000,0.000180,0.001552,1.505639
clown invasion,3.000000,0.000108,0.000986,3.847445
clown girl,3.000000,0.000108,0.000986,1.034034
clown city,5.000000,0.000180,0.001552,1.544859
clown road,3.000000,0.000108,0.000986,1.544859
clown walked,6.000000,0.000216,0.001823,2.420328
clown streets,6.000000,0.000216,0.001823,2.142696
clown potential,4.000000,0.000144,0.001273,2.668790
clown picture,6.000000,0.000216,0.001823,2.055685
clown costume,39.000000,0.001404,0.009220,3.291498
clown rogers,3.000000,0.000108,0.000986,3.847445
clown took,3.000000,0.000108,0.000986,1.034034
clown until,4.000000,0.000144,0.001273,1.650220
clown acting,3.000000,0.000108,0.000986,2.461150
clown backyard,4.000000,0.000144,0.001273,3.036514
clown nationwide,3.000000,0.000108,0.000986,2.112843
clown found,3.000000,0.000108,0.000986,0.340887
clown standing,24.000000,0.000864,0.006093,3.264298
clown theres,4.000000,0.000144,0.001273,0.957073
clown suspicious,3.000000,0.000108,0.000986,0.802922
clown character,4.000000,0.000144,0.001273,2.055685
clown attire,10.000000,0.000360,0.002854,3.665123
clown paint,5.000000,0.000180,0.001552,2.022895
clown front,3.000000,0.000108,0.000986,1.335139
clown blinking,12.000000,0.000432,0.003346,3.767402
clown waved,4.000000,0.000144,0.001273,2.400526
clown approach,3.000000,0.000108,0.000986,2.643472
clown house,5.000000,0.000180,0.001552,0.747352
clown gone,3.000000,0.000108,0.000986,1.950325
clown clothing,9.000000,0.000324,0.002603,3.048937
clown left,6.000000,0.000216,0.001823,2.028286
clown inside,3.000000,0.000108,0.000986,2.238007
clown along,4.000000,0.000144,0.001273,2.189216
clown heard,5.000000,0.000180,0.001552,1.695682
clown adult,3.000000,0.000108,0.000986,2.643472
clown four,3.000000,0.000108,0.000986,1.613852
clown later,5.000000,0.000180,0.001552,1.565062
clown again,6.000000,0.000216,0.001823,1.747384
clown complexes,3.000000,0.000108,0.000986,3.154297
clown wooded,8.000000,0.000288,0.002347,2.430379
clown surfaced,4.000000,0.000144,0.001273,2.525689
clown movie,9.000000,0.000324,0.002603,2.433751
clown terrorizing,5.000000,0.000180,0.001552,3.058987
clown walking,11.000000,0.000396,0.003102,2.202289
clown wednesday,5.000000,0.000180,0.001552,1.672693
clown toward,3.000000,0.000108,0.000986,2.548162
clown park,6.000000,0.000216,0.001823,2.343367
clown old,5.000000,0.000180,0.001552,1.544859
clown painted,5.000000,0.000180,0.001552,2.817825
clown young,3.000000,0.000108,0.000986,1.282495
clown shemwood,6.000000,0.000216,0.001823,3.000147
clown terrified,3.000000,0.000108,0.000986,2.173468
clown either,5.000000,0.000180,0.001552,2.365840
clown friday,4.000000,0.000144,0.001273,1.544859
clown activity,8.000000,0.000288,0.002347,2.400526
clown weapons,4.000000,0.000144,0.001273,2.289300
clown court,3.000000,0.000108,0.000986,2.112843
clown past,4.000000,0.000144,0.001273,1.707378
clown spread,13.000000,0.000468,0.003587,2.723514
clown hand,4.000000,0.000144,0.001273,1.321716
clown hoax,7.000000,0.000252,0.002088,1.943207
clown fact,3.000000,0.000108,0.000986,1.449549
clown situation,6.000000,0.000216,0.001823,1.650220
clown figure,6.000000,0.000216,0.001823,2.594682
clown panic,14.000000,0.000504,0.003826,2.772930
clown phenomenon,6.000000,0.000216,0.001823,2.083856
clown further,3.000000,0.000108,0.000986,2.238007
clown street,6.000000,0.000216,0.001823,1.855014
clown problem,6.000000,0.000216,0.001823,2.503710
clown gags,3.000000,0.000108,0.000986,2.238007
clown looked,4.000000,0.000144,0.001273,1.263447
clown gonna,3.000000,0.000108,0.000986,1.855014
clown middle,3.000000,0.000108,0.000986,1.208387
clown itself,3.000000,0.000108,0.000986,2.055685
clown terror,4.000000,0.000144,0.001273,2.525689
clown performers,3.000000,0.000108,0.000986,3.154297
clown happy,3.000000,0.000108,0.000986,1.650220
clown production,4.000000,0.000144,0.001273,3.154297
clown seem,5.000000,0.000180,0.001552,2.512443
clown spreading,4.000000,0.000144,0.001273,2.668790
clown might,9.000000,0.000324,0.002603,2.173468
clown occurred,3.000000,0.000108,0.000986,2.173468
clown disappeared,3.000000,0.000108,0.000986,3.336619
clown attempting,4.000000,0.000144,0.001273,2.343367
clown lurking,12.000000,0.000432,0.003346,2.805991
clown pennywise,5.000000,0.000180,0.001552,2.161046
clown carrying,4.000000,0.000144,0.001273,2.400526
clown prowling,3.000000,0.000108,0.000986,3.154297
clown gang,5.000000,0.000180,0.001552,2.971976
clown taken,5.000000,0.000180,0.001552,1.845965
clown question,4.000000,0.000144,0.001273,2.931154
clown popped,5.000000,0.000180,0.001552,2.971976
clown based,5.000000,0.000180,0.001552,2.971976
clown fast,3.000000,0.000108,0.000986,2.238007
clown window,3.000000,0.000108,0.000986,2.238007
clown theory,5.000000,0.000180,0.001552,3.259658
clown john,3.000000,0.000108,0.000986,1.810563
clown gun,3.000000,0.000108,0.000986,2.173468
clown university,4.000000,0.000144,0.001273,1.596153
clown account,3.000000,0.000108,0.000986,2.001618
clown van,6.000000,0.000216,0.001823,2.503710
clown onto,3.000000,0.000108,0.000986,2.112843
clown head,4.000000,0.000144,0.001273,1.301913
clown communities,3.000000,0.000108,0.000986,2.238007
clown explosives,3.000000,0.000108,0.000986,3.847445
clown credible,5.000000,0.000180,0.001552,2.278829
clown does,3.000000,0.000108,0.000986,2.112843
clown almost,3.000000,0.000108,0.000986,1.613852
clown living,4.000000,0.000144,0.001273,2.289300
clown longer,3.000000,0.000108,0.000986,2.548162
clown become,4.000000,0.000144,0.001273,1.937902
clown nobody,3.000000,0.000108,0.000986,2.112843
clown mass,3.000000,0.000108,0.000986,2.001618
clown danger,3.000000,0.000108,0.000986,2.748832
clown feeling,3.000000,0.000108,0.000986,2.307000
clown ronald,3.000000,0.000108,0.000986,1.727181
clown posse,6.000000,0.000216,0.001823,3.847445
clown good,13.000000,0.000468,0.003587,1.958047
clown voice,4.000000,0.000144,0.001273,2.668790
clown profile,4.000000,0.000144,0.001273,2.594682
clown result,3.000000,0.000108,0.000986,2.643472
clown killed,4.000000,0.000144,0.001273,2.835844
clown expert,4.000000,0.000144,0.001273,3.624301
clown encounters,7.000000,0.000252,0.002088,3.228405
clown chicago,3.000000,0.000108,0.000986,2.238007
clown laughing,5.000000,0.000180,0.001552,2.461150
clown late,4.000000,0.000144,0.001273,1.866443
clown terrorize,3.000000,0.000108,0.000986,3.336619
clown hunting,7.000000,0.000252,0.002088,3.308448
clown groups,3.000000,0.000108,0.000986,2.866615
clown currently,3.000000,0.000108,0.000986,2.548162
clown murder,3.000000,0.000108,0.000986,2.866615
clown show,3.000000,0.000108,0.000986,1.855014
