Number of pairs,28825.000000
Number of unique pairs,4916
Average pair frequency,5.863507
Pair entropy,8.096612

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clowns knives,4.000000,0.000139,0.001233,2.311922
clowns big,7.000000,0.000243,0.002021,1.714085
clowns convention,4.000000,0.000139,0.001233,2.630375
clowns season,3.000000,0.000104,0.000954,2.224910
clowns coming,10.000000,0.000347,0.002764,2.042589
clowns kentucky,5.000000,0.000173,0.001502,1.531763
clowns green,17.000000,0.000590,0.004385,2.350073
clowns multiple,3.000000,0.000104,0.000954,0.838616
clowns complaints,3.000000,0.000104,0.000954,0.895774
clowns department,3.000000,0.000104,0.000954,-0.142213
clowns earlier,3.000000,0.000104,0.000954,0.660935
clowns part,7.000000,0.000243,0.002021,1.318189
clowns yelling,4.000000,0.000139,0.001233,2.630375
clowns invasion,3.000000,0.000104,0.000954,3.323523
clowns girl,3.000000,0.000104,0.000954,0.510112
clowns caught,4.000000,0.000139,0.001233,1.490941
clowns city,8.000000,0.000278,0.002273,1.490941
clowns harm,3.000000,0.000104,0.000954,1.377612
clowns menacing,4.000000,0.000139,0.001233,1.714085
clowns road,3.000000,0.000104,0.000954,1.020937
clowns responding,4.000000,0.000139,0.001233,2.070760
clowns walked,6.000000,0.000208,0.001765,1.896406
clowns areas,7.000000,0.000243,0.002021,1.555861
clowns streets,7.000000,0.000243,0.002021,1.772925
clowns potential,4.000000,0.000139,0.001233,2.144868
clowns picture,6.000000,0.000208,0.001765,1.531763
clowns costume,40.000000,0.001388,0.009131,2.792894
clowns rogers,3.000000,0.000104,0.000954,3.323523
clowns took,8.000000,0.000278,0.002273,1.490941
clowns posting,3.000000,0.000104,0.000954,2.024240
clowns until,5.000000,0.000173,0.001502,1.349442
clowns acting,7.000000,0.000243,0.002021,2.784526
clowns suspiciously,4.000000,0.000139,0.001233,3.323523
clowns strange,11.000000,0.000382,0.003004,2.137899
clowns backyard,8.000000,0.000278,0.002273,3.205740
clowns nationwide,3.000000,0.000104,0.000954,1.588921
clowns found,9.000000,0.000312,0.002520,0.915577
clowns threatened,5.000000,0.000173,0.001502,1.937228
clowns force,3.000000,0.000104,0.000954,1.937228
clowns terrifying,3.000000,0.000104,0.000954,1.477696
clowns standing,24.000000,0.000833,0.005904,2.740376
clowns theres,7.000000,0.000243,0.002021,0.992767
clowns pond,7.000000,0.000243,0.002021,2.324994
clowns suspicious,5.000000,0.000173,0.001502,0.789826
clowns character,5.000000,0.000173,0.001502,1.754907
clowns attire,10.000000,0.000347,0.002764,3.141201
clowns paint,6.000000,0.000208,0.001765,1.681295
clowns whispering,12.000000,0.000416,0.003241,3.243480
clowns boy,6.000000,0.000208,0.001765,1.183456
clowns flashing,9.000000,0.000312,0.002520,3.122852
clowns laser,6.000000,0.000208,0.001765,2.550333
clowns front,7.000000,0.000243,0.002021,1.658515
clowns investigating,3.000000,0.000104,0.000954,0.956399
clowns blinking,12.000000,0.000416,0.003241,3.243480
clowns post,3.000000,0.000104,0.000954,0.571987
clowns waved,4.000000,0.000139,0.001233,1.876604
clowns approach,3.000000,0.000104,0.000954,2.119550
clowns amounts,4.000000,0.000139,0.001233,2.070760
clowns lived,7.000000,0.000243,0.002021,2.966848
clowns house,21.000000,0.000729,0.005263,1.658515
clowns located,4.000000,0.000139,0.001233,2.630375
clowns gone,5.000000,0.000173,0.001502,1.937228
clowns clothing,9.000000,0.000312,0.002520,2.525015
clowns left,6.000000,0.000208,0.001765,1.504364
clowns playground,6.000000,0.000208,0.001765,3.323523
clowns drive,5.000000,0.000173,0.001502,2.293903
clowns darkcolored,3.000000,0.000104,0.000954,2.812697
clowns inside,5.000000,0.000173,0.001502,2.224910
